Incoming_Order_A,Incoming_Order_B,Incoming_Order_D,Incoming_Order_E
100,27,26,38
52,62,71,15
76,45,40,52
68,95,61,16
75,95,55,82
14,44,54,78
93,78,29,34
94,66,50,16
60,43,28,93
97,33,34,70
35,93,41,53
64,27,90,67
46,81,41,61
67,78,43,56
37,28,35,61
84,43,10,60
16,50,83,20
13,55,66,49
14,64,17,42
23,41,63,25
45,64,15,40
96,49,22,18
20,96,64,81
68,72,82,85
58,57,24,78
42,61,80,23
28,19,97,23
30,35,55,84
13,74,44,11
74,99,63,16
69,37,94,38
50,100,24,88
75,42,22,36
20,51,77,64
95,98,19,73
87,85,48,99
69,57,71,65
44,99,33,65
47,99,17,43
53,24,97,62
95,81,63,92
88,34,74,97
53,37,35,98
60,49,76,25
89,53,82,35
96,22,66,82
68,79,16,71
78,12,58,25
41,97,75,54
93,34,35,84
86,74,19,59
60,58,85,58
88,86,46,22
87,28,77,91
83,12,83,17
21,26,13,15
58,71,37,37
91,84,63,87
80,24,93,75
48,62,42,48
98,14,81,35
32,85,96,65
40,18,92,88
96,26,18,64
83,69,68,91
91,52,16,73
11,34,11,74
44,95,13,80
31,61,47,72
36,24,21,33
77,48,28,78
75,74,19,14
52,51,85,61
43,19,65,49
63,25,90,64
58,32,37,10
60,59,19,72
66,67,65,60
46,53,40,85
80,29,87,34
32,41,93,11
69,89,58,52
97,32,26,100
10,70,48,70
75,44,90,81
19,97,73,88
59,10,64,59
67,38,81,32
32,79,12,56
93,12,16,25
66,45,50,87
31,96,34,34
80,71,83,53
19,20,96,43
60,18,71,49
18,95,60,72
62,93,29,65
33,25,15,33
69,88,28,62
75,78,69,57
57,46,71,31
69,32,82,98
84,22,43,54
83,27,58,24
66,57,54,97
51,12,11,96
47,67,30,70
89,64,94,40
73,68,86,49
26,84,82,38
61,15,47,25
92,97,20,75
23,54,98,43
86,53,13,36
84,24,29,26
55,69,56,70
13,89,64,54
23,16,73,14
93,38,34,17
14,80,88,33
43,13,89,54
66,62,28,62
27,30,25,30
99,58,74,34
24,22,33,36
59,42,54,21
66,42,17,84
31,46,93,40
52,98,28,36
54,22,11,76
79,34,44,41
67,71,31,94
52,42,67,11
70,93,78,74
51,43,29,63
57,97,16,74
69,26,69,45
26,52,79,10
81,57,44,23
64,62,15,46
99,46,44,68
30,59,48,57
52,31,16,79
91,33,19,20
64,16,100,94
76,59,77,71
47,54,45,10
72,98,55,93
96,81,90,48
28,73,12,20
83,35,13,59
98,30,76,47
11,72,28,81
29,30,18,99
20,16,95,86
79,40,90,80
17,60,18,90
100,28,40,76
45,20,53,78
92,88,86,26
27,51,85,19
50,10,13,11
86,32,90,91
64,14,69,57
52,33,12,47
56,48,56,83
62,23,67,56
50,95,36,99
27,52,23,28
20,88,80,67
23,84,43,94
14,20,60,92
60,18,46,22
87,61,80,52
42,12,14,84
16,81,33,13
48,39,35,53
64,75,46,63
48,27,19,41
83,39,81,18
95,68,45,65
89,30,25,13
74,28,46,19
52,41,67,87
72,10,18,25
11,74,22,73
99,20,13,51
25,31,56,50
92,15,39,26
83,50,56,71
82,34,80,97
34,56,71,76
29,71,27,52
49,27,100,27
87,40,38,62
50,61,95,45
95,31,49,21
42,93,67,83
66,13,28,32
99,23,69,50
68,36,31,97
14,71,51,76
52,18,19,89
40,90,40,51
58,92,95,46
35,68,29,89
21,44,41,17
70,35,79,98
72,41,86,95
88,90,19,45
22,58,77,24
82,94,32,65
85,55,14,78
68,29,53,47
28,18,19,36
33,71,93,49
48,36,56,50
59,67,40,26
53,94,24,45
52,11,69,32
86,14,48,57
89,40,55,85
84,38,77,99
89,45,38,59
61,50,85,81
97,47,61,85
65,18,58,21
64,40,27,64
39,20,15,32
71,28,84,87
14,64,63,30
22,14,52,64
21,36,17,21
69,64,12,48
25,34,81,95
41,57,74,98
14,50,63,79
31,66,80,85
97,86,43,95
56,35,43,51
23,90,96,92
57,68,61,27
95,47,79,66
88,82,68,52
45,49,65,74
35,70,27,23
79,89,94,47
31,39,47,24
33,52,68,43
17,46,26,69
88,20,93,22
50,19,77,91
61,19,19,66
77,89,18,25
82,91,70,85
50,40,78,96
26,90,71,63
85,95,84,22
12,79,71,69
96,31,88,92
62,72,19,94
89,34,84,44
65,88,80,18
32,93,59,74
36,99,11,25
58,77,24,44
97,31,84,62
26,84,47,67
56,29,47,24
41,20,41,49
80,23,75,10
83,33,56,40
48,63,38,92
28,83,98,82
16,33,23,74
28,60,80,99
34,90,83,54
64,52,30,73
89,13,95,37
21,59,33,16
97,94,72,34
72,46,48,16
77,41,82,75
99,54,56,95
47,59,88,82
58,17,92,73
71,54,54,59
56,31,89,11
37,69,38,47
19,58,75,56
35,61,68,91
79,82,83,53
68,57,93,91
82,36,83,20
57,19,40,91
31,17,84,49
67,44,77,99
37,40,89,83
12,37,86,91
92,78,95,91
48,64,57,11
48,95,70,60
77,22,88,87
96,22,19,14
16,45,26,67
25,91,62,31
39,81,76,77
32,51,18,21
55,97,29,13
85,25,100,44
87,73,94,72
64,91,73,83
31,91,75,49
26,24,75,87
77,29,47,39
31,95,89,80
59,97,16,48
78,52,37,69
30,19,36,83
25,88,37,34
13,97,22,63
23,21,77,78
87,10,58,14
19,64,58,64
30,95,66,63
12,45,23,54
71,34,92,21
31,53,75,20
47,47,89,14
22,37,66,16
44,85,74,82
48,92,41,45
53,28,51,96
48,12,13,66
19,61,31,94
80,64,34,88
22,28,48,33
48,15,35,38
34,22,26,79
37,38,39,82
71,37,16,21
57,17,14,54
27,42,78,83
52,81,40,61
40,29,19,58
74,13,98,24
30,47,89,80
86,32,68,89
57,69,90,90
55,44,80,86
33,97,54,19
26,78,54,51
52,74,85,64
99,14,56,57
22,38,71,25
35,54,32,88
82,92,54,32
70,96,53,71
35,10,92,20
38,66,57,16
48,93,52,19
64,73,40,10
75,81,27,80
88,22,72,52
71,41,67,61
31,13,93,97
94,37,91,73
81,88,94,17
37,61,84,49
37,97,80,38
90,12,74,84
21,54,61,17
67,68,33,30
35,10,27,14
85,55,79,73
43,15,80,80
76,64,91,12
27,85,70,60
53,56,42,16
83,87,28,25
46,65,24,89
24,41,97,34
69,88,62,58
78,53,44,77
35,80,37,24
51,77,87,45
91,50,62,54
89,56,56,14
74,67,53,33
63,90,57,92
84,25,57,74
92,100,47,87
10,19,25,17
46,22,75,98
61,11,68,81
76,26,19,16
17,80,76,50
46,76,88,12
35,90,74,23
48,73,35,67
55,57,48,81
70,28,88,76
55,79,100,49
66,81,73,25
63,40,30,88
48,48,47,80
10,58,68,64
27,14,85,50
39,78,44,61
23,59,92,98
64,12,72,91
65,33,22,46
55,41,81,90
39,78,94,74
69,33,86,67
27,88,76,31
10,16,37,57
76,17,22,10
50,99,33,29
73,71,48,49
26,77,24,18
15,95,26,51
44,33,55,88
73,82,78,31
19,44,83,39
27,80,39,37
51,81,79,97
66,12,36,92
78,22,77,64
19,42,64,25
66,58,72,26
45,93,80,45
70,39,52,72
28,12,73,63
58,88,91,14
25,74,27,13
11,72,64,93
54,46,22,10
26,94,55,96
68,23,92,67
58,66,24,82
80,92,14,63
45,10,22,51
100,55,50,42
56,85,32,95
53,38,11,12
78,51,68,55
62,100,73,10
42,67,41,37
54,15,47,84
27,58,15,72
45,70,32,52
12,82,60,16
52,13,24,68
34,52,20,100
57,52,25,35
12,29,77,94
60,96,38,16
36,14,52,26
62,89,92,54
76,33,32,43
50,67,23,62
70,94,47,85
31,78,23,69
100,92,45,67
32,72,32,94
95,69,83,83
29,60,50,57
55,77,90,83
84,18,62,48
75,30,10,26
74,44,97,67
50,14,19,88
78,24,49,12
93,75,61,83
50,44,55,27
58,44,18,23
16,75,24,33
45,47,18,56
52,93,14,88
91,34,43,68
20,77,85,14
76,74,70,71
59,95,17,92
65,33,87,35
12,97,68,89
23,42,100,14
35,10,53,72
10,36,58,67
70,25,34,80
89,58,57,32
59,12,13,69
59,24,17,58
66,96,54,39
37,63,40,11
43,63,83,55
62,63,88,52
83,75,74,27
28,35,73,67
39,75,26,70
77,88,41,80
41,57,88,63
14,21,37,26
24,76,30,72
27,73,39,32
55,93,95,61
67,16,62,69
90,72,29,31
92,17,39,79
37,27,33,58
78,94,51,57
35,87,41,38
43,98,15,63
36,40,56,85
47,48,25,27
29,94,95,16
39,94,38,57
21,18,77,26
97,12,64,67
55,27,44,81
94,57,89,90
77,15,57,80
51,78,75,69
78,65,97,89
67,42,63,41
37,64,53,17
57,95,24,98
74,17,34,79
37,70,54,97
11,82,37,19
34,93,90,48
82,26,54,100
94,79,96,94
66,64,27,85
22,62,90,76
78,72,90,92
57,12,50,64
78,50,62,10
88,13,54,20
96,94,100,48
69,91,12,17
87,77,31,84
77,72,13,30
76,49,50,15
88,65,75,37
93,71,32,46
92,15,35,18
46,95,64,36
17,85,70,21
85,16,94,18
59,61,83,35
59,67,33,37
85,19,69,72
12,23,78,19
89,89,57,11
13,46,79,78
73,54,69,22
63,70,23,90
68,71,82,75
44,37,93,54
35,46,45,39
56,39,50,53
90,30,85,94
61,89,56,100
70,56,60,19
50,75,54,54
98,79,43,76
77,69,23,80
42,95,29,95
69,64,73,97
59,60,97,11
90,51,98,82
35,22,33,51
19,85,87,22
27,73,39,58
45,18,39,28
87,73,92,25
34,18,43,28
66,32,10,12
66,45,97,11
47,30,43,81
14,32,13,44
77,70,88,96
36,96,71,67
46,78,58,32
44,21,55,12
70,53,85,25
17,14,65,86
60,91,80,65
11,31,74,89
99,49,72,21
64,18,47,78
44,21,99,47
23,54,72,40
73,26,82,86
92,90,29,58
38,34,87,41
79,72,29,17
36,45,25,16
97,46,30,66
73,16,99,49
66,71,18,45
94,63,32,73
34,21,19,92
94,69,84,22
71,62,72,75
80,42,100,32
62,80,71,71
85,44,69,17
73,76,49,18
23,26,97,95
65,15,84,22
35,88,18,10
93,73,71,84
28,57,13,52
36,29,93,19
14,16,68,95
50,85,40,39
60,17,83,45
62,15,60,38
92,69,67,68
41,56,92,71
50,10,19,77
87,22,57,86
62,83,28,65
69,33,43,44
35,75,23,38
54,14,76,88
66,76,92,17
22,35,35,99
12,70,33,46
20,71,33,25
53,48,79,56
12,49,70,91
66,88,11,10
18,53,96,40
32,43,72,28
48,91,21,37
20,74,94,81
34,47,30,97
11,44,45,65
99,76,43,90
65,18,19,37
44,29,25,55
12,59,26,81
45,68,100,96
51,38,28,80
94,77,33,62
35,39,85,52
65,97,51,100
70,96,26,93
26,70,11,22
56,100,69,15
81,88,94,39
18,21,48,38
65,53,38,20
12,39,44,26
10,75,36,49
15,75,61,78
53,10,93,87
94,40,92,37
46,48,61,93
16,70,67,81
88,96,72,57
57,28,18,46
39,35,68,82
97,96,47,12
95,32,11,15
33,17,73,27
28,77,32,79
63,68,66,39
86,25,100,70
40,68,34,92
63,88,88,77
24,65,43,32
27,91,92,60
79,96,42,64
23,82,20,74
34,65,38,61
72,73,91,33
11,86,78,48
12,46,26,85
36,22,55,63
40,79,32,68
42,39,85,34
83,18,48,81
13,49,13,16
42,41,35,10
68,32,11,49
23,48,29,98
88,33,52,85
68,35,68,99
20,98,93,98
28,20,77,63
77,53,13,42
46,30,15,93
54,92,97,100
90,78,62,91
22,50,60,36
97,87,59,44
13,55,47,20
19,12,94,87
30,68,30,42
83,65,45,61
51,79,94,68
69,22,18,83
25,95,80,95
25,44,61,18
57,53,38,10
77,45,19,15
52,100,75,17
89,32,60,98
70,81,29,41
32,96,93,90
31,54,40,44
44,54,31,45
78,22,45,36
95,69,70,55
88,68,56,89
33,77,71,100
47,86,19,83
65,100,47,43
59,69,83,45
45,77,45,47
19,81,57,40
74,23,55,70
18,44,85,41
88,41,15,38
88,78,40,45
74,97,18,24
54,22,26,98
73,92,43,54
45,74,40,38
82,60,54,87
81,23,11,93
24,61,88,87
38,96,86,42
41,50,86,83
43,60,33,80
61,89,51,90
13,63,77,64
70,69,25,87
28,28,82,89
47,87,12,65
51,53,18,30
41,65,10,72
44,21,86,61
26,44,49,67
16,34,64,11
60,58,16,41
64,34,43,95
23,62,36,27
31,33,45,16
36,65,45,91
85,42,54,38
23,33,30,79
60,16,71,20
61,77,74,94
41,48,52,74
41,22,16,67
97,15,78,36
60,88,42,95
69,38,81,86
54,60,49,95
68,54,15,47
65,86,11,85
23,55,39,50
40,48,84,54
51,17,37,55
21,37,100,80
43,86,68,47
30,93,24,30
87,23,37,44
41,28,21,47
30,64,30,27
47,93,20,84
72,18,30,19
15,88,49,100
26,12,43,31
73,31,72,91
78,40,91,76
66,93,93,53
90,51,31,66
25,85,25,73
74,15,90,100
93,82,67,98
23,44,56,98
32,95,15,78
59,92,28,36
41,49,92,60
72,58,85,34
15,93,93,71
24,19,88,71
75,26,99,37
98,19,18,77
94,85,46,67
91,14,13,26
21,71,69,97
23,74,67,34
16,90,46,67
59,64,53,76
90,91,58,68
58,93,30,83
81,55,44,36
27,94,31,84
88,49,50,37
27,71,82,44
14,67,60,85
48,92,66,19
60,79,11,70
98,92,98,43
18,27,98,52
34,62,93,22
19,91,97,81
45,68,72,59
36,94,28,84
56,14,38,13
41,56,18,21
94,93,66,40
81,68,88,32
88,37,33,46
21,95,11,80
62,78,31,81
29,60,28,67
89,13,94,61
11,63,53,100
19,51,100,84
44,75,95,30
46,63,76,55
35,75,94,89
18,54,33,87
20,23,60,98
38,21,62,90
96,25,80,40
28,93,32,86
78,50,54,16
33,78,31,20
13,63,18,62
11,97,21,56
23,38,52,47
52,60,44,18
78,93,82,59
76,94,56,62
42,39,35,38
53,31,67,71
84,34,57,94
86,92,94,76
39,42,21,14
10,37,12,78
14,79,81,19
77,90,78,81
34,33,30,87
53,23,49,50
27,78,82,16
87,52,31,81
55,89,82,61
57,12,26,36
36,61,61,34
56,70,48,63
10,70,46,65
35,83,64,50
41,54,40,48
35,11,90,96
17,43,37,70
57,71,57,38
81,77,73,25
95,90,23,64
55,60,28,98
64,31,66,50
36,21,97,25
23,95,43,26
22,49,60,19
76,11,51,37
76,29,43,78
26,44,22,35
47,64,13,97
64,14,98,35
21,56,71,42
81,72,66,77
66,99,91,95
65,29,47,97
73,68,66,92
99,51,21,56
61,73,46,61
88,43,86,32
48,70,33,87
69,74,63,33
94,62,25,60
70,42,16,13
37,73,17,70
66,23,75,28
41,90,54,50
39,39,16,67
65,43,53,56
24,31,41,51
54,64,21,57
96,62,61,92
44,69,26,86
27,49,86,88
52,79,76,43
86,85,54,17
86,21,98,83
85,41,95,61
11,41,80,52
34,18,51,87
100,78,59,54
20,22,92,20
54,55,67,50
81,98,63,55
21,89,74,68
70,78,72,84
54,66,57,92
27,25,74,74
89,84,66,94
26,77,24,53
68,77,17,23
77,26,78,53
61,92,89,66
67,20,87,27
20,66,93,25
38,61,82,58
63,49,19,39
45,32,10,50
70,90,40,76
87,45,77,71
27,52,87,97
92,53,72,91
44,89,71,49
95,41,77,99
66,97,87,58
81,97,58,19
56,50,97,76
58,43,22,67
39,31,29,42
21,99,55,38
44,77,56,39
29,83,33,57
12,68,13,83
35,87,11,71
26,80,68,78
89,35,41,48
17,28,69,78
26,75,72,58
74,95,27,59
93,57,22,32
32,10,77,55
11,46,20,33
97,46,90,78
72,57,53,20
38,96,96,94
52,69,42,96
64,19,51,77
44,55,15,78
89,57,92,59
76,50,85,43
96,98,10,20
41,26,77,69
95,33,71,86
53,42,14,80
68,83,86,17
77,62,14,35
83,48,44,81
46,82,22,63
50,32,64,67
84,10,72,71
75,30,53,19
95,13,88,45
99,13,11,82
26,22,31,50
30,84,30,90
75,47,23,51
78,70,84,91
64,90,56,56
89,78,33,87
32,85,71,63
40,16,36,31
55,96,40,47
38,20,94,95
59,44,89,51
72,36,88,23
30,68,98,50
54,60,88,40
100,45,68,83
39,58,89,44
13,41,90,57
84,65,48,57
55,54,92,79
14,18,45,49
91,13,46,40
46,91,13,49
94,25,86,19
46,89,33,61
16,66,16,83
32,54,22,59
41,60,84,22
78,29,81,23
26,15,82,78
49,10,83,59
89,72,88,71
58,80,83,36
19,64,23,75
12,44,82,57
74,42,70,26
99,76,53,80
81,78,73,79
79,44,58,40
71,21,30,16
82,61,48,96
13,24,40,63
34,73,91,38
73,45,11,36
88,50,46,99
71,19,42,17
26,99,81,74
95,21,36,52
92,70,65,19
17,40,85,94
27,25,22,53
35,49,83,10
77,94,76,26
88,50,35,28
62,92,83,31
28,69,60,56
47,64,84,59
22,10,74,51
93,48,18,80
79,48,44,100
56,35,93,66
51,62,11,30
18,73,48,93
38,46,59,86
20,40,27,45
81,27,22,38
59,11,68,44
30,57,77,19
30,14,94,94
33,26,39,93
38,90,88,90
45,53,13,66
37,99,34,11
71,81,60,57
13,11,99,77
39,68,96,51
77,16,58,96
95,22,65,18
83,13,74,98
31,13,14,87
31,86,39,85
27,53,92,37
90,49,82,98
31,95,63,71
78,44,38,49
33,80,34,20
13,66,55,12
76,60,40,97
76,87,75,89
18,96,47,81
39,66,97,92
96,28,13,20
24,25,92,79
17,99,80,15
64,97,40,25
94,100,89,61
22,88,10,71
56,66,39,29
72,100,44,81
25,22,23,26
11,61,62,11
90,91,66,81
13,81,18,83
33,43,72,80
69,69,79,80
36,81,31,86
10,42,40,13
62,11,12,91
38,23,41,91
23,72,30,30
98,18,30,81
25,78,89,56
76,42,14,11
91,45,16,53
88,30,96,41
26,77,33,12
31,40,28,26
11,35,93,31
94,56,98,25
90,46,98,22
64,64,56,54
19,91,66,29
25,63,92,92
62,13,30,62
32,27,67,70
37,27,89,54
25,33,10,15
27,99,68,27
52,87,25,56
56,44,52,18
56,46,30,18
100,58,38,39
21,62,56,60
78,43,83,22
82,63,64,19
63,32,27,89
52,45,53,40
91,72,66,46
85,62,26,38
14,95,99,33
97,27,34,18
10,29,72,94
62,32,73,20
62,42,16,86
85,70,57,31
45,29,11,20
18,83,58,89
62,33,58,56
12,85,97,29
42,57,68,14
99,32,94,33
89,11,42,71
23,20,61,44
82,19,38,75
83,12,38,61
94,61,100,59
30,32,47,17
55,62,58,15
85,65,97,27
70,45,60,88
64,46,32,33
69,53,55,73
31,49,63,73
12,45,22,56
76,39,34,69
39,19,70,97
44,91,89,55
65,58,63,32
69,72,65,75
28,15,47,19
85,60,82,40
44,96,72,10
67,65,53,47
97,92,96,22
61,61,63,48
42,36,85,28
66,81,43,84
55,72,33,70
51,41,100,53
76,61,44,79
94,30,81,66
53,77,15,71
18,59,49,24
61,34,35,21
32,45,99,34
13,26,28,91
81,100,39,88
34,88,20,48
80,96,86,95
54,45,14,59
38,73,27,61
38,51,66,56
13,49,48,18
58,13,77,67
84,36,100,18
17,89,66,12
19,12,43,43
58,86,81,90
70,54,40,73
73,46,65,30
38,97,68,25
13,57,41,11
47,17,66,41
30,28,90,100
10,77,89,28
72,76,69,34
96,58,91,81
45,18,78,58
37,31,18,47
60,84,50,64
87,21,48,42
82,98,46,37
72,84,94,39
49,71,59,23
72,100,13,11
29,82,50,73
35,35,69,33
80,87,97,35
94,75,42,77
27,88,75,73
36,40,74,26
10,52,13,92
49,77,37,89
29,47,35,40
68,11,77,56
74,39,37,32
20,18,59,90
17,63,10,44
92,86,80,41
45,10,56,95
58,89,36,10
97,21,83,41
79,29,35,58
39,76,88,71
17,33,69,38
58,100,51,93
40,13,100,85
11,56,49,27
80,17,35,16
45,96,48,61
61,77,97,24
78,14,85,39
95,83,65,76
65,33,86,35
38,56,90,21
20,91,43,19
16,31,44,82
39,94,99,94
70,10,58,26
73,82,61,25
28,15,11,48
17,51,21,79
37,48,72,80
59,11,76,62
78,53,84,27
58,87,69,81
36,65,33,33
66,37,83,52
34,98,48,91
69,98,32,36
86,35,20,70
68,99,99,93
61,46,28,99
37,42,33,60
89,56,28,85
99,73,75,46
80,98,91,12
62,35,90,49
22,18,94,11
38,36,32,67
43,85,66,84
36,84,52,84
50,82,94,77
65,44,42,59
29,47,44,66
32,19,61,29
20,84,97,36
37,38,79,69
55,77,73,42
54,57,16,12
100,90,85,25
99,40,18,27
49,60,31,26
98,53,28,77
29,56,78,75
59,60,94,87
51,28,99,83
98,71,52,12
86,81,62,80
29,33,76,100
49,72,83,80
25,82,88,26
58,62,68,39
82,45,12,80
13,41,47,79
27,88,51,25
98,13,15,62
97,82,78,39
60,59,91,100
68,30,83,87
34,72,91,95
96,33,37,39
70,21,21,39
70,62,21,82
11,50,47,85
87,25,13,45
80,31,33,65
72,57,36,53
77,34,62,79
24,86,87,26
75,53,66,94
18,50,62,77
74,92,26,48
10,71,79,41
80,60,33,72
54,37,60,44
28,21,96,36
76,10,86,46
38,34,43,99
90,33,81,54
26,83,61,83
95,26,64,22
98,68,20,18
37,77,84,56
88,81,99,45
86,30,44,84
48,43,65,100
43,61,19,99
35,99,54,44
100,68,69,82
33,37,27,30
93,100,47,47
48,15,73,68
95,75,89,10
86,45,85,48
24,60,52,88
62,83,73,71
71,86,88,70
46,11,89,17
10,34,82,84
39,66,67,17
86,97,95,100
15,56,95,88
19,41,96,72
73,43,89,63
56,61,66,28
55,78,54,68
43,67,66,86
64,72,54,71
87,53,28,98
35,51,37,58
86,71,16,86
47,13,15,86
55,30,58,56
76,98,67,20
33,15,70,20
93,63,79,14
73,20,32,22
66,52,72,30
34,41,28,74
73,74,60,52
33,84,62,31
84,36,51,88
11,67,29,29
25,15,17,37
60,53,14,29
74,18,59,20
54,32,65,65
89,61,11,80
98,46,57,15
52,42,66,45
79,75,30,93
55,85,84,48
70,74,62,64
30,66,87,85
19,16,83,23
99,23,62,45
84,21,75,74
35,36,51,43
63,95,91,61
44,35,53,71
26,59,57,54
48,88,18,94
37,27,90,34
11,82,30,68
45,31,26,97
93,97,89,19
85,99,20,63
62,81,28,21
38,76,15,30
31,14,22,30
96,63,78,49
61,49,37,47
29,15,21,75
32,73,86,18
97,68,76,35
31,56,19,22
19,99,60,45
26,69,93,55
79,100,86,84
74,29,98,26
49,27,86,79
82,25,23,27
57,37,19,19
47,21,19,85
20,61,96,21
90,46,91,75
35,17,47,45
66,56,52,67
99,45,46,70
27,86,87,89
97,52,49,30
69,81,75,51
21,100,78,73
80,88,69,37
96,99,89,59
61,49,70,39
72,96,15,73
12,99,80,30
100,27,54,38
38,81,11,23
12,69,22,100
83,16,62,74
98,21,13,48
77,12,94,64
10,53,48,23
15,54,99,11
63,96,70,45
40,35,54,57
90,52,98,45
89,87,12,97
99,71,24,95
75,68,99,44
89,15,76,28
39,63,42,82
20,48,59,76
88,20,26,94
37,59,39,17
48,28,87,51
68,34,94,95
65,83,49,93
48,35,37,17
45,77,54,87
21,98,68,50
58,67,41,18
31,12,48,39
78,28,86,28
71,53,66,10
16,38,83,47
100,75,54,42
81,71,30,56
30,42,41,58
12,78,39,12
53,31,32,93
42,57,21,55
59,56,21,48
70,95,32,98
82,28,32,43
11,11,64,56
75,35,25,24
36,69,10,24
99,12,64,65
87,80,78,46
60,56,65,48
64,84,92,18
27,67,33,38
30,33,95,10
24,57,28,14
44,68,70,58
20,32,52,53
56,59,23,67
68,89,94,59
21,48,44,42
41,33,82,44
16,94,43,88
57,70,85,70
69,50,26,28
66,89,85,87
84,24,65,67
31,11,78,72
66,76,99,42
37,35,19,25
18,48,79,63
37,20,43,39
16,81,69,81
97,22,12,31
76,38,44,46
19,33,43,19
81,39,98,33
42,36,74,53
92,74,24,24
55,63,87,86
89,19,59,98
30,72,93,84
43,90,18,31
43,15,98,61
18,30,70,94
40,19,91,50
70,38,22,69
52,13,80,41
90,61,39,40
34,90,42,66
42,46,55,72
39,93,68,87
60,51,29,75
27,35,26,100
25,19,12,54
95,99,17,96
44,57,61,10
63,38,95,65
15,35,58,60
22,58,36,13
18,74,61,38
83,35,74,72
19,48,87,33
56,83,40,65
24,39,13,67
35,35,84,18
90,14,47,72
67,41,58,10
97,70,34,95
64,31,58,46
10,98,70,77
47,96,44,94
12,57,63,87
38,65,81,44
53,93,96,35
62,99,11,24
31,56,56,22
60,76,17,41
45,20,67,99
56,39,75,100
27,90,71,56
24,69,79,76
78,74,59,11
40,28,23,10
68,26,75,29
61,93,80,48
91,76,49,59
90,72,57,96
50,94,59,86
28,68,63,40
67,54,61,42
67,59,96,57
73,71,18,63
92,84,14,85
81,79,18,13
66,66,27,94
64,84,43,19
29,44,85,44
69,63,19,70
84,24,90,81
93,19,79,81
93,93,36,83
61,94,89,71
33,29,31,18
40,29,12,63
100,49,13,82
57,32,28,70
84,27,94,64
64,37,80,55
56,20,58,34
41,22,42,41
58,69,45,64
10,26,93,15
89,73,33,46
61,25,33,21
12,60,51,73
84,18,27,13
22,45,59,91
12,47,12,62
52,47,42,30
97,98,27,68
18,58,55,40
15,66,97,16
90,11,17,45
84,32,10,34
84,73,62,35
52,10,10,46
48,78,47,23
46,90,83,41
62,88,99,43
76,34,17,85
81,89,16,65
69,34,72,78
61,81,23,59
47,44,74,32
39,12,17,41
36,20,15,17
36,20,20,17
72,83,73,13
79,29,74,19
64,86,85,60
30,53,80,66
27,34,83,39
79,16,22,44
99,90,85,70
11,18,18,78
32,24,35,35
82,35,48,41
75,81,62,60
32,77,86,75
60,78,95,92
63,36,40,87
75,61,72,88
52,17,49,78
46,27,98,42
38,10,54,17
31,95,51,78
18,100,59,80
68,43,69,75
70,95,99,48
72,30,67,80
10,57,45,29
49,59,98,60
21,10,90,80
57,23,57,66
99,90,94,68
55,88,72,24
44,17,24,82
84,62,40,38
98,39,19,13
36,45,84,64
83,18,95,18
100,82,71,26
20,86,46,13
58,46,97,23
84,51,62,65
44,25,52,35
50,79,87,76
78,73,80,28
18,19,38,37
42,70,64,44
61,60,84,22
31,71,59,49
86,83,33,59
79,72,70,53
97,30,75,16
57,39,57,82
19,71,80,64
95,44,15,65
85,29,84,59
59,64,83,50
86,92,65,13
90,22,11,82
80,21,69,33
61,24,12,39
65,28,78,31
86,97,54,38
66,56,17,75
28,23,57,76
72,16,22,28
58,98,82,100
33,51,36,16
10,25,71,69
31,87,54,29
71,86,12,24
89,69,20,71
85,64,89,26
19,96,95,15
16,72,47,81
79,29,96,48
35,14,39,41
34,60,92,92
10,77,67,79
18,90,87,68
22,65,63,43
24,39,50,62
50,97,85,92
84,17,85,68
83,93,81,10
92,44,74,72
50,85,47,75
74,99,39,71
54,21,98,23
14,91,75,33
17,29,59,37
32,38,19,90
99,66,63,54
72,68,65,26
34,74,96,27
74,74,55,39
70,34,60,53
13,81,89,86
42,43,12,65
80,46,81,85
17,10,33,44
90,99,24,82
94,54,12,21
87,54,90,16
20,25,58,50
61,90,76,12
74,37,45,55
90,20,44,88
18,19,40,47
84,82,16,22
35,26,12,22
63,55,79,36
75,65,98,92
80,91,58,25
36,94,71,50
65,17,35,49
36,100,85,73
100,44,85,19
84,85,25,23
47,10,85,65
90,15,71,90
76,33,22,88
94,72,11,85
25,46,40,17
36,82,74,57
18,32,39,55
38,30,85,57
44,83,91,12
67,29,92,18
52,89,88,69
75,64,35,65
34,31,52,53
25,84,84,100
44,86,74,94
49,48,10,65
48,65,38,87
93,68,39,87
34,36,37,53
42,77,35,54
29,61,24,91
43,46,35,20
45,14,85,41
62,10,78,11
35,17,41,23
33,90,53,22
75,18,16,98
92,53,67,36
21,94,65,65
26,52,20,30
22,24,24,66
72,99,85,90
29,19,56,86
65,47,24,75
28,91,50,24
84,46,56,33
38,45,84,73
70,59,42,44
23,57,22,26
37,95,27,20
37,46,23,66
67,60,14,63
71,14,36,92
86,45,49,59
26,23,72,51
79,47,34,54
74,24,41,26
60,43,54,70
69,59,18,40
18,56,15,77
23,13,30,48
47,65,88,11
74,55,11,62
25,57,58,73
45,89,97,56
55,47,42,45
95,10,29,28
15,31,26,22
85,49,67,70
99,19,33,36
34,65,38,58
90,32,33,76
36,31,87,44
82,31,82,67
51,82,28,61
64,38,57,60
31,37,80,34
72,16,31,54
23,78,18,10
60,65,88,30
54,98,80,51
86,20,34,37
53,58,76,22
